time_stamp	px_state	py_state	v_state	yaw_angle_state	yaw_rate_state	sensor_type	NIS	px_measured	py_measured	px_ground_truth	py_ground_truth	vx_ground_truth	vy_ground_truth
1477010474349642	77.1089	24.9712	1.94747	-0.219901	-0.279578	lidar	0.540851	77.1225	24.9297	77.1475	25.1137	1.9408	-0.0566978
1477010474349642	77.1309	24.9778	1.92562	-0.22314	-0.28454	radar	0.00224748	77.1386	25.2948	77.1475	25.1137	1.9408	-0.0566978
1477010475349642	79.0867	25.0026	2.01788	0.0834357	0.120057	lidar	0.315568	79.1089	25.0369	79.0861	25.0086	1.83649	-0.145607
1477010475349642	79.0933	25.0075	1.84575	0.084793	0.121329	radar	0.029541	79.1718	24.9698	79.0861	25.0086	1.83649	-0.145607
1477010476349642	80.8078	24.8859	1.76171	-0.0520556	-0.0527463	lidar	0.0614935	80.8074	24.8688	80.9183	24.8178	1.73008	-0.223536
1477010476349642	80.8598	24.8992	1.64427	-0.0508737	-0.0573971	radar	0.0224328	81.1423	24.8704	80.9183	24.8178	1.73008	-0.223536
1477010477349642	82.614	24.6427	1.9811	-0.169931	-0.0953416	lidar	0.0492236	82.6216	24.6393	82.6423	24.5525	1.6235	-0.29012
1477010477349642	82.5944	24.6351	1.70041	-0.187938	-0.115071	radar	0.0678104	82.5085	24.8114	82.6423	24.5525	1.6235	-0.29012
1477010478349642	84.1668	24.5334	1.69272	-0.0248227	0.0672662	lidar	0.0607433	84.1733	24.5504	84.2584	24.2245	1.51869	-0.345444
1477010478349642	84.1753	24.5357	1.61952	-0.0230407	0.0675507	radar	0.0051516	84.2898	24.3312	84.2584	24.2245	1.51869	-0.345444
1477010479349642	85.6422	23.846	1.51099	-0.521775	-0.303837	lidar	0.211827	85.6378	23.808	85.7688	23.8451	1.41749	-0.390006
1477010479349642	85.704	23.8674	1.78029	-0.492456	-0.273339	radar	0.0458398	85.9743	23.7547	85.7688	23.8451	1.41749	-0.390006
1477010480349642	86.9388	23.5034	1.1889	-0.369635	-0.0199193	lidar	0.343555	86.9449	23.527	87.1776	23.4252	1.32159	-0.424654
1477010480349642	87.062	23.5345	1.33867	-0.288646	0.0366218	radar	0.074482	87.6171	23.5127	87.1776	23.4252	1.32159	-0.424654
1477010481349642	88.8067	22.8033	2.22477	-0.440468	-0.0832285	lidar	0.330555	88.8227	22.7869	88.4904	22.9745	1.23248	-0.450514
1477010481349642	88.7272	22.7759	1.77535	-0.522293	-0.163378	radar	0.19972	88.4191	22.9498	88.4904	22.9745	1.23248	-0.450514
1477010482349642	89.5148	22.2967	0.783607	-0.573221	-0.109969	lidar	0.482153	89.4967	22.3082	89.7145	22.5017	1.15138	-0.468904
1477010482349642	89.5814	22.3083	1.11603	-0.522515	-0.0710615	radar	0.0572985	89.7821	22.4826	89.7145	22.5017	1.15138	-0.468904
1477010483349642	90.5111	21.6697	1.24597	-0.605267	-0.0780464	lidar	0.00675478	90.5133	21.6677	90.858	22.0141	1.07929	-0.481241
1477010483349642	90.5931	21.6875	1.4163	-0.530869	-0.0244927	radar	0.0439823	90.8419	22.0974	90.858	22.0141	1.07929	-0.481241
1477010484349642	91.7119	21.1067	1.37601	-0.393703	0.0734777	lidar	0.0157831	91.7178	21.1152	91.9302	21.5174	1.01698	-0.488964
1477010484349642	91.7789	21.1249	1.14486	-0.366523	0.0799352	radar	0.0436517	92.0492	21.5289	91.9302	21.5174	1.01698	-0.488964
1477010485349642	92.8501	20.9343	1.20134	-0.0335609	0.238182	lidar	0.016582	92.8599	20.9537	92.9411	21.016	0.964993	-0.493443
1477010485349642	92.9298	20.9534	0.98719	0.0100962	0.262208	radar	0.0638037	93.3186	21.0712	92.9411	21.016	0.964993	-0.493443
1477010486349642	93.4749	20.2882	0.257401	-0.586704	-0.246152	lidar	0.271034	93.4668	20.2155	93.9011	20.513	0.92369	-0.495919
1477010486349642	93.5564	20.3124	1.04101	-0.577042	-0.228422	radar	0.219946	93.7423	20.5071	93.9011	20.513	0.92369	-0.495919
